,5_11_1_.6,5_11_1_.3,5_11_1_.2,5_11_1_.1,5_11_1_1,5_11_1_2,5_11_1_3,5_11_1_4,5_11_1_5,5_11_1_6,5_11_1_7,5_11_1_8,5_12_2_.6,5_12_2_.3,5_12_2_.2,5_12_2_.1,5_12_2_1,5_12_2_2,5_12_2_3,5_12_2_4,5_12_2_5,5_12_2_6,5_12_2_7,5_12_2_8,5_13_5_.6,5_13_5_.3,5_13_5_.2,5_13_5_.1,5_13_5_1,5_13_5_2,5_13_5_3,5_13_5_4,5_13_5_5,5_13_5_6,5_13_5_7,5_13_5_8,5_14_1_.6,5_14_1_.3,5_14_1_.2,5_14_1_.1,5_14_1_1,5_14_1_2,5_14_1_3,5_14_1_4,5_14_1_5,5_14_1_6,5_14_1_7,5_14_1_8,5_14_5_.6,5_14_5_.3,5_14_5_.2,5_14_5_.1,5_14_5_1,5_14_5_2,5_14_5_3,5_14_5_4,5_14_5_5,5_14_5_6,5_14_5_7,5_14_5_8,3__13_.1,3__13_.2,3__13_0,3__13_10,3__13_11,3__13_12,3__15_.1,3__15_.2,3__15_0,3__15_10,3__15_11,3__15_12,3__16_.1,3__16_.2,3__16_0,3__16_10,3__16_11,3__16_12,3__28_.1,3__28_.2,3__28_0,3__28_10,3__28_11,3__28_12
0f2a5acc53e55f2c9f0c7409421dc5a0,0,0.015844887,0.011241923,0.006046306,0.010299033,0.005218788,0.031028369,0.008744569,0.00616808,0,0,0,0,0,0,0.006463168,0.041741835,0.016069379,0.0076157,0.025040519,0,0,0,0,0,0,0.011646178,0,0.002050931,0.008590734,0.002185925,0.001051525,0,0,0,0,0,0.003833221,0.005118289,0.004245641,0.028043843,0.008073153,0.007596917,0.016096394,0.032716506,0,0,0,0.007478158,0.022223629,0.023990158,0.009254097,0.037398956,0.047484876,0.004359347,0.002300143,0,0,0,0,0.001697525,0.000486523,0.001092486,0,0,0,0.001647926,0.000954182,0.001997004,0,0,0,0.002638522,0.000811293,0.001423285,0.008053487,0,0,0.013813697,0.003145656,0.01208637,0.010177158,0.007325618,0.002291189
10055b4de0b725f946f9dc5f3e8409df,0,0,0,0,0,0.00168607,0.002718676,0,0.000415159,0,0,0,0,0,0,0,0.003048212,0.009437572,0.003834478,0.010534846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001240634,0,0,0,0,0.001389427,0.005827327,0.001372941,0,0,0,0.001319261,0.001658644,0.00204953,0,0,0,0.001747955,0.001075098,0,0,0,0
12470c486f558c083c46b45408cae9c6,0,0.000312728,0,0,0,0,0,0,0.000474468,0,0,0,0,0.002727184,0.001667659,0.002336085,0.00118196,0,0.00063908,0.000648298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000121631,0.000341402,0,0,0,0.000226186,0.000306701,0,0,0,0,0.000791557,0.000649035,0.001138628,0,0,0,0,0.000199092,0,0,0,0
1328ddadac3f2d08eb25e79a18f7e574,0.022806798,0,0,0,0,0,0,0,0,0,0,0,0.028170242,0,0,0,0,0,0,0,0,0,0,0,0.048939915,0,0,0,0,0,0,0,0,0,0,0,0.060490593,0,0,0,0,0,0,0,0,0,0,0.000603774,0.063971568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13506518b825bfbd65794347af5958c6,0.001062234,0,0,0,0,0,0,0,0,0,0,0,0.002267574,0,0,0,0,0,0,0,0,0,0,0,0.000754211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006418485,0,0,0.000827815,0,0,0,0,0,0.000823097,0.004921058,0,0.003120843,0.001823154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002869393,0.001207925,0.001793339,0,0,0,0,0,0,0,0,0
14e78619269b8c45554ab4a8ddf2f22c,0,0.009694569,0,0.003539301,0.005059174,0.005539944,0.004432624,0,0,0,0,0,0.004273504,0.007012759,0.006670637,0,0.007340591,0.006504272,0.002023752,0.018071313,0,0,0,0,0,0,0.008411129,0,0.002221842,0,0,0,0,0,0,0,0,0.005985205,0,0.006444276,0.020588526,0,0.011060217,0.007358352,0.011398964,0,0,0,0,0.003798911,0.009944638,0.005574757,0.006702139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841ceeb252a3e471065c84c01175567,0,0.004378192,0.002124458,0.005603893,0.00867287,0.008831794,0.009397163,0.001113958,0.000948935,0,0,0,0,0.006233564,0.004288267,0.008643513,0.013623639,0.011095524,0.010438302,0.008833063,0,0,0,0,0,0.001629601,0.002957759,0.002032277,0.004671566,0.003185328,0.000607201,0,0,0,0.000316656,0,0,0.002891728,0.006824386,0.005534496,0.034166091,0.004695609,0.014746956,0.014348786,0.006661732,0,0,0,0,0.008864126,0.010252204,0.012821942,0.016320475,0.013673655,0.002820754,0,0,0,0,0,0.003355572,0.002335312,0.00184357,0,0,0,0.003392788,0.003987119,0.000790481,0,0,0,0.001978892,0.005246363,0.000768574,0,0,0,0.000631206,0.001672374,0.001516455,0,0,0
1c281deaf71c6d702d1ddadfa953eac6,0,0,0,0,0,0,0.004018913,0,0,0,0,0,0,0,0,0.000856564,0,0,0.00047931,0.005510535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121304,0.000987459,0,0,0,0.0006415,0,0,0,0.001480823,0.000443206,0.002563051,0.001114951,0.000716259,0.000745836,0,0,0,0,0,0,0.000197387,0.000462197,0.000921785,0,0,0,0.001098617,0.002351378,0.000624064,0,0,0,0.000989446,0.001171868,0.000256191,0,0,0,0.000655483,0.000995461,0.000792178,0,0.000247726,0.000132548
1fdb09b154f347c35de3aad68774cb79,0.003249188,0.014854581,0.005311145,0.001843386,0.005510886,0.003211562,0.02712766,0,0,0,0,0,0.005058434,0.023473264,0.015842764,0.014950942,0.005412131,0.002805765,0.001491186,0.005834684,0,0,0,0,0.003184446,0.013516104,0.011276458,0.00251046,0.002734575,0.008494208,0,0,0,0,0.000407129,0,0.007303326,0.01735037,0.020359418,0.03373768,0.080082947,0.047944641,0.040665847,0.041942605,0.016580311,0,0,0,0.007330076,0.015132329,0.029833914,0.030326681,0.022511,0.025358416,0.003333618,0.000562257,0,0,0,0,0.008408669,0.003089423,0.012324605,0.000447713,0,0,0.021326095,0.021145359,0.013604593,0,0,0,0.013720317,0.006129771,0.006404782,0,0,0,0,0,0,0.000418813,0,0.000795289
2197e3c697e9c1427ae1c3277d3c71f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00059216,0,0.000955925,0,0,0,0.004232907,0.004310859,0.004950907,0,0,0,0.003397098,0.0015685,0.005550811,0.006078104,0,0,0.002063558,0.001114916,0.005341542,0,0.001097073,0.017893999
