ID	5_11_1_1	5_12_2_1	5_13_5_1	5_14_1_1	5_14_5_1	5_12_2_3	5_13_5_3	5_14_1_3	5_14_5_3	5_11_1_3	5_12_2_5	5_13_5_5	5_14_1_5	5_14_5_5
2385_1	0	0	0	3	0	0	1	0	6	0	0	3	0	4
2384_1	2	0	0	0	0	0	7	0	9	2	4	2	1	2
2383_1	0	0	0	0	0	0	3	0	1	1	2	2	0	10
2382_1	1	0	0	0	0	1	16	0	8	5	72	15	23	67
2381_1	2	0	1	1	0	1	2	0	2	1	9	5	1	20
2380_1	10	1	3	1	2	7	78	1	70	58	220	98	21	148
238_1	37	0	1	0	0	3	4	6	45	1	10	14	5	27
2379_1	4	0	1	0	0	1	35	0	53	21	111	102	17	46
2378_1	31	0	3	2	2	2	9	3	35	1	40	15	0	18
2377_1	1	0	0	0	0	0	1	0	3	0	2	11	1	3
2376_1	22	2	3	0	1	12	111	3	176	71	290	340	31	305
2375_1	27	2	31	5	5	30	316	3	485	298	951	902	145	1111
2374_1	48	2	16	2	4	20	136	4	352	127	610	512	70	558
2373_1	9	2	39	1	8	18	378	5	588	109	1004	1996	40	555
2372_1	11	2	6	0	3	10	77	0	50	14	101	51	18	234
2371_1	10	1	0	1	0	0	0	0	14	1	0	5	0	2
2370_1	7	2	0	0	1	8	1	2	10	6	3	17	1	65
237_1	6	1	1	0	0	9	33	9	103	9	31	42	5	131
2369_1	10	0	5	0	3	5	20	0	21	8	2	11	0	14
2368_1	5	0	3	1	0	2	20	1	21	5	58	26	2	52
2367_1	1	0	0	0	0	0	0	0	2	5	3	5	1	9
2366_1	3	1	1	2	3	2	3	0	17	1	2	7	0	14
2365_1	13	0	10	1	0	2	25	2	26	8	43	22	3	33
2364_1	29	1	7	4	4	13	65	10	181	12	73	153	12	256
2363_1	2	0	1	0	0	0	25	0	19	6	24	28	2	26
2362_1	21	2	2	1	0	5	16	2	78	16	35	65	9	69
2361_1	1	0	1	2	2	1	4	0	13	2	11	1	0	30
2360_1	22	0	5	0	4	12	47	3	296	9	120	251	4	126
236_1	9	1	1	1	0	3	3	0	7	3	17	13	2	24
2359_1	16	0	1	1	1	9	58	5	165	7	65	118	18	130
2358_1	4	2	4	0	2	1	125	0	140	57	229	123	23	329
2357_1	5	0	0	0	0	1	4	3	35	6	12	24	1	30
2356_1	2	0	2	0	0	0	8	2	13	3	31	26	2	10
2355_1	15	1	5	0	1	4	63	0	114	21	145	68	24	190
2354_1	1	0	0	0	0	1	3	0	15	2	40	19	0	3
2353_1	11	0	3	0	1	7	21	2	52	4	25	32	6	61
2352_1	6	1	2	0	1	22	159	1	70	13	32	27	13	838
2351_1	3	1	5	1	1	9	71	0	100	39	116	66	9	138
2350_1	3	0	4	1	0	1	6	1	13	0	8	22	0	11
235_1	11	0	14	2	0	8	89	0	127	71	306	193	11	299
2349_1	2	0	3	0	0	2	25	0	18	6	47	19	7	39
2348_1	4	0	0	0	0	0	0	0	5	2	2	0	0	1
2347_1	10	0	3	1	2	5	25	1	57	4	34	24	5	97
2346_1	8	3	8	0	0	7	82	10	361	11	127	129	27	583
2345_1	12	0	1	0	0	10	33	6	66	14	28	60	3	64
2344_1	0	0	0	0	0	0	0	0	1	0	2	11	2	1
2343_1	0	0	1	0	0	1	0	1	2	0	0	0	0	0
2342_1	0	0	1	0	0	0	0	0	5	0	5	3	0	7
2341_1	13	1	4	1	2	3	63	5	78	10	89	106	19	166
2340_1	12	2	3	0	1	10	21	9	74	8	30	71	11	93
234_1	27	3	11	0	0	9	89	0	61	9	76	75	8	89
2339_1	4	0	0	0	0	0	6	1	14	0	2	4	0	19
2338_1	2	0	0	0	0	1	15	0	29	3	58	51	12	43
2337_1	2	0	3	0	0	4	16	2	13	3	52	59	4	47
2336_1	3	0	1	0	1	1	14	1	55	10	41	67	11	54
2335_1	16	0	4	0	2	8	7	0	26	1	17	9	0	24
2334_1	9	0	2	0	0	1	1	1	23	2	7	13	0	16
2333_1	1	0	0	0	0	1	0	0	1	0	0	1	0	0
2332_1	24	3	8	1	0	15	60	5	96	8	1146	1016	56	61
2331_1	5	1	0	0	0	0	4	0	11	1	48	8	0	20
2330_1	8	0	1	0	1	3	13	4	31	0	11	6	0	25
233_1	38	7	21	2	5	27	91	10	283	31	282	170	30	276
2329_1	3	0	5	0	0	20	26	9	146	11	28	187	11	172
2328_1	9	0	0	0	1	0	0	0	27	0	11	2	0	12
2327_1	2	2	0	1	1	4	44	11	126	4	3	52	14	115
2326_1	27	0	16	2	5	8	189	5	639	114	770	189	50	676
2325_1	21	8	49	1	4	20	12	0	15	0	4	8	1	14
2324_1	23	0	0	1	1	6	50	3	64	94	93	177	29	263
2323_1	0	0	0	0	2	0	0	0	0	0	1	1	1	1
2322_1	2	0	1	0	0	1	10	1	28	10	36	28	6	48
2321_1	8	0	2	1	0	1	5	0	13	4	22	16	2	22
2320_1	1	0	1	1	0	0	0	0	3	0	2	4	0	5
232_1	20	0	3	0	0	1	12	1	15	2	74	47	5	54
2319_1	4	1	6	2	1	5	75	0	25	140	82	180	77	329
2318_1	1	0	4	0	0	4	35	8	92	13	120	90	11	103
2317_1	6	0	5	2	1	2	8	1	9	110	57	118	53	132
2316_1	7	2	0	1	0	5	19	2	20	2	5	8	2	24
2315_1	8	0	0	1	0	2	14	0	18	6	40	22	7	60
2314_1	3	0	0	0	0	0	9	0	29	4	6	30	1	40
2313_1	4	0	0	0	1	1	1	0	14	0	3	10	1	5
2312_1	12	2	1	1	1	3	11	1	49	5	16	74	3	40
2311_1	4	0	3	0	0	3	9	1	11	7	14	38	0	428
2310_1	8	3	3	0	1	5	9	1	13	11	26	25	9	37
231_1	21	0	1	0	0	1	43	1	15	3	9	9	10	49
2309_1	3	0	1	0	0	4	22	2	15	2	50	14	1	25
2308_1	29	1	17	2	0	13	212	3	96	9	26	69	6	849
2307_1	6	1	94	11	14	25	1010	8	2008	742	5632	1456	303	4819
2306_1	15	3	19	2	4	13	208	1	304	82	1129	374	24	627
2305_1	16	2	11	2	0	15	126	2	218	80	329	212	49	1002
2304_1	19	8	11	9	4	12	214	2	505	104	498	200	7	65
2303_1	5	1	1	0	0	1	6	2	37	1	25	15	6	51
2302_1	1	0	0	0	0	0	0	0	9	0	3	3	0	2
2301_1	7	0	4	0	3	7	75	1	36	14	179	126	13	165
2300_1	12	1	1	2	1	0	3	1	21	1	11	19	0	6
230_1	27	3	6	2	2	3	17	0	43	4	6	35	2	35
23_1	3	0	0	0	0	0	1	0	0	1	0	4	0	41
2299_1	15	1	0	0	0	2	4	0	39	0	8	8	0	17
2298_1	15	0	0	0	0	3	37	0	16	7	11	14	0	12
2297_1	1	0	1	0	0	1	5	0	7	2	9	12	0	12
2296_1	7	0	0	1	0	2	12	2	47	6	14	54	2	44
2295_1	16	7	22	6	8	31	679	11	751	257	2222	1088	107	907
2294_1	6	1	6	0	0	8	83	0	44	420	256	494	178	679
2293_1	12	0	18	1	1	6	75	3	151	32	308	320	24	264
2292_1	21	3	2	1	2	11	66	6	328	9	28	181	6	118
2291_1	49	1	11	2	2	14	143	1	249	50	599	461	34	352
2290_1	16	0	0	0	0	3	15	2	73	5	48	57	5	34
229_1	11	7	4	2	2	14	31	0	32	8	60	21	10	62
2289_1	5	0	1	0	0	1	1	0	49	9	4	41	1	79
2288_1	51	2	14	5	9	30	177	24	218	77	530	271	61	521
2287_1	0	0	0	0	0	1	4	2	10	2	7	2	0	28
2286_1	2	1	0	0	0	5	25	2	57	19	73	77	8	117
2285_1	6	1	0	0	0	0	1	2	0	0	1	0	0	2
2284_1	21	0	6	1	3	5	109	1	76	64	344	99	61	189
2283_1	3	0	0	0	0	0	7	0	7	0	17	13	3	26
2282_1	1	0	0	1	0	2	7	0	23	2	13	12	1	25
2281_1	19	1	38	2	11	9	198	9	178	98	1376	1123	87	373
2280_1	6	0	2	0	0	3	2	2	10	0	0	1	0	28
228_1	14	0	7	0	1	1	11	0	50	7	56	37	7	65
2279_1	19	0	14	2	0	14	31	9	76	9	36	58	7	94
2278_1	1	0	0	0	0	1	3	0	8	0	3	3	3	12
2277_1	17	0	29	3	1	4	40	5	46	2	12	39	2	561
2276_1	7	0	0	0	0	5	13	6	38	5	14	27	2	64
2275_1	9	0	0	0	0	1	4	1	13	1	8	8	0	16
2274_1	41	0	12	2	1	14	41	1	87	10	118	91	3	88
2273_1	21	0	2	1	1	11	24	2	80	7	18	41	3	76
2272_1	5	2	10	1	4	12	63	4	274	99	251	242	72	298
2271_1	16	1	2	1	1	0	23	0	40	12	52	41	7	45
2270_1	17	1	18	4	8	24	321	12	273	156	975	982	125	1609
227_1	9	0	2	0	0	2	22	4	42	2	8	26	4	56
2269_1	11	2	1	1	2	1	4	2	22	7	6	3	2	14
2268_1	5	0	1	0	0	5	41	0	28	17	121	61	16	111
2267_1	6	0	2	1	0	3	9	3	26	10	61	32	3	29
2266_1	4	0	3	1	0	6	22	2	38	20	18	22	9	66
2265_1	39	10	42	10	11	33	659	1	282	327	2244	1991	228	2867
2264_1	3	0	0	0	0	0	0	0	9	1	1	0	0	0
2263_1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
2262_1	14	0	5	1	0	30	6	10	51	6	3	4	2	143
2261_1	6	0	1	1	0	0	5	1	12	2	6	352	2	20
2260_1	0	0	0	0	0	0	9	0	14	0	13	10	5	10
226_1	7	0	8	0	3	12	102	1	238	46	237	41	20	462
2259_1	18	0	1	0	0	2	60	0	44	5	42	19	1	7
2258_1	4	1	4	1	0	3	27	0	52	6	74	45	10	94
2257_1	9	0	0	0	0	1	4	0	6	5	3	6	1	18
2256_1	5	0	2	0	0	3	108	1	92	22	85	84	15	177
2255_1	6	1	3	0	1	4	54	0	69	21	121	132	26	152
2254_1	10	0	9	2	0	2	145	1	29	3	39	13	0	47
2253_1	7	1	0	1	0	4	13	0	10	14	6	26	0	34
2252_1	9	0	1	0	0	0	5	0	16	0	1	4	0	53
2251_1	25	1	22	5	2	138	410	38	409	168	587	628	100	1140
2250_1	12	1	3	1	0	3	14	1	56	1	7	17	4	27
225_1	1	0	0	1	0	0	1	0	8	0	3	5	0	5
2249_1	2	0	0	0	0	1	1	0	1	0	2	0	0	0
2248_1	18	5	20	1	4	34	227	5	212	252	271	250	121	618
2247_1	15	0	4	0	1	2	8	0	9	4	22	11	2	15
2246_1	4	0	0	0	0	2	25	0	35	6	41	28	5	56
2245_1	2	0	0	0	0	0	7	1	11	0	6	13	3	22
2244_1	16	0	5	1	1	14	59	1	118	35	90	96	25	216
2243_1	0	0	1	0	0	2	7	1	2	1	21	9	0	26
2242_1	0	0	1	0	1	1	8	0	8	8	14	12	1	18
2241_1	7	0	4	1	1	22	84	5	393	274	86	63	21	94
2240_1	28	3	4	1	0	9	61	5	260	16	139	162	18	271
224_1	7	1	1	2	0	1	7	4	6	4	0	2	3	14
2239_1	29	0	1	0	1	6	47	1	54	35	261	101	26	331
2238_1	18	0	18	2	1	52	169	21	244	75	495	313	48	340
2237_1	3	0	1	0	2	1	0	1	8	1	2	9	0	3
2236_1	2	1	0	0	0	3	8	1	24	0	14	10	1	18
2235_1	13	2	1	1	0	3	197	0	33	28	346	62	40	230
2234_1	11	0	1	0	0	7	15	2	34	7	16	25	2	41
2233_1	3	1	2	1	1	3	6	0	30	5	41	36	0	39
2232_1	23	0	18	1	2	13	141	1	131	109	236	90	46	574
2231_1	2	0	1	0	0	3	8	4	31	1	8	18	4	40
2230_1	6	0	0	0	0	0	0	0	10	0	2	0	0	2
223_1	1	0	0	0	0	2	9	0	10	2	17	5	2	19
2229_1	16	1	3	1	2	3	69	9	111	15	18	41	7	297
2228_1	8	0	0	1	1	1	19	2	12	9	95	26	17	67
2227_1	1	0	1	0	0	1	3	0	16	2	27	18	2	19
2226_1	26	0	18	1	4	15	185	5	252	86	750	575	92	410
2225_1	11	0	0	0	0	0	3	0	10	7	1	7	6	12
2224_1	2	0	4	1	1	5	10	1	9	1	5	2	0	274
