"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3179_1",160.572071014425,-3.52179466636607,0.785123844620551,-4.48565495812721,7.26902942307414e-06,0.00180140185889663
"3070_1",191.3211264513,-3.64391465022693,0.818171627935142,-4.45372893145079,8.43916341932225e-06,0.00180140185889663
"3064_1",38.7063207597268,-4.45759272849079,1.0038312114969,-4.44057992761917,8.9716774324427e-06,0.00180140185889663
"25_1",888.909949066504,-3.67969493072984,0.829822598753546,-4.43431516116458,9.23654255519842e-06,0.00180140185889663
"2399_1",17.2786219795667,-5.29903651568717,1.19624055431725,-4.42974157376864,9.4346076253742e-06,0.00180140185889663
"1744_1",112.489994654676,-3.36020366637938,0.756228754392885,-4.44336934672237,8.85609438387816e-06,0.00180140185889663
"1444_1",7.53084411876331,-6.336518625521,1.41629718104254,-4.4740035568359,7.67684637717806e-06,0.00180140185889663
"6754_1",582.374334882921,-3.40163351297137,0.775899281944567,-4.38411736178716,1.16456980788861e-05,0.00196967573507559
"2511_1",48.6132416207225,-4.00644217314085,0.919027717223862,-4.35943562751648,1.30398303888645e-05,0.00213432578687414
"6670_1",53.0137971977855,-3.45381931327262,0.796146614715754,-4.33816994185892,1.4367404569871e-05,0.00220992200877268
"1640_1",60.6020211465206,-3.56156442885825,0.820998679769767,-4.33808788810358,1.43727682872484e-05,0.00220992200877268
"5180_1",52.1959737625923,-3.62212125737692,0.837937447823552,-4.32266306606176,1.54157066219435e-05,0.0023005675117571
"6087_1",97.2319855624516,4.07705647085775,0.958392681962623,4.25405634620315,2.09932438134254e-05,0.00295888108637001
"4649_1",149.808172064318,2.66024682589334,0.624740976494179,4.25815966294014,2.06116719721813e-05,0.00295888108637001
"1124_1",56.3340749556232,3.45574337403064,0.81555155626293,4.23730829460465,2.26215423856992e-05,0.00310220827202804
"5733_1",19.7673381948514,2.54742470635506,0.60414371647163,4.21658727369165,2.48027322936734e-05,0.00327371262350767
"3809_1",15.2591048420802,-2.52706841451535,0.599778416218862,-4.21333670265522,2.51625526836419e-05,0.00327371262350767
"709_1",26.5659827248667,-3.86905098657336,0.921551065830394,-4.1984119274899,2.6879335416464e-05,0.00331250515616091
"5846_1",22.1143713200953,-3.48032243023376,0.830894893224696,-4.18864342363046,2.8062693233254e-05,0.00331250515616091
"4675_1",72.952880599231,-2.9729988625487,0.709788928763088,-4.18856753335051,2.8072077594584e-05,0.00331250515616091
"1452_1",62.119408382367,3.25265699218148,0.775855655028403,4.19234811411203,2.76081918325083e-05,0.00331250515616091
"867_1",8.41573212249688,3.84699477754631,0.924868249659807,4.15950572307066,3.18937029915975e-05,0.00359619219954146
"1538_1",50.3267694816484,2.66926527216696,0.641498611093602,4.16098371221178,3.1687968778143e-05,0.00359619219954146
"5811_1",35.7239526828483,-4.23996495945388,1.02385816121089,-4.14116439179366,3.45547185740345e-05,0.00373043919243939
"2524_1",40.8017498764831,-3.79051035851437,0.914596867214475,-4.1444602473425,3.4061503493317e-05,0.00373043919243939
"6720_1",32.4202568746938,-3.90075370266546,0.944018213241943,-4.13207462308328,3.59503659566146e-05,0.00380025326799713
"5356_1",73.3820758882758,-3.56856234044069,0.867585751822972,-4.11320994258196,3.90195226341153e-05,0.00404051138460206
"5705_1",19.6247379932363,-2.83951143731445,0.691898193111624,-4.10394399867489,4.06165821049505e-05,0.00412177075201038
"2993_1",948.275263205274,1.98002731280107,0.485582221215271,4.07763551936815,4.54960125749398e-05,0.00452640721186754
"1465_1",80.6340389987164,-2.06344717882991,0.508053594867539,-4.06147540274349,4.87635567591175e-05,0.00475819782684158
"677_1",15.6517988863175,-4.41081482953027,1.09049008338338,-4.04480049542969,5.23676999649604e-05,0.00492062425226313
