"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3591_1",44.0527921077954,-3.12230235857762,0.577431010887534,-5.40723012741992,6.40068816850151e-08,2.22850626399994e-05
"824_1",77.5999253223912,-2.87470931406908,0.533548633432402,-5.38790493300605,7.12837382596732e-08,2.35123782985985e-05
"6770_1",28.464710895952,3.42085427429526,0.641561400495096,5.3320761998078,9.70961762963608e-08,3.04250868424647e-05
"4047_1",20.7963991008526,4.29732388617477,0.812830862241278,5.28686112425092,1.24433034105818e-07,3.54464465791436e-05
"2695_1",92.3622917452105,-3.1629599375533,0.597868089808546,-5.29039765036827,1.22050707003117e-07,3.54464465791436e-05
"3758_1",92.4213037140715,4.65944699138976,0.889507084651036,5.23823482891956,1.62119699132219e-07,4.41740936722441e-05
"335_1",11.1123004880067,4.7766160272003,0.920564352191086,5.18879100177105,2.11663792004687e-07,5.5270707687224e-05
"3339_1",178.946747808428,-2.57322657575968,0.498270087335377,-5.16432079942957,2.41313532459372e-07,5.81658426124186e-05
"1497_1",26.1295295047926,-3.68928186762,0.713594366634129,-5.16999858760314,2.34095764004624e-07,5.81658426124186e-05
"5090_1",39.9701762266569,-2.73057450662513,0.529856950839944,-5.15341829959303,2.55780539068027e-07,5.90768051608164e-05
"4150_1",37.4813405105092,2.96911965491318,0.576954876027012,5.14619041849327,2.65829590156465e-07,5.90768051608164e-05
"2542_1",44.3619753610839,-2.27322901112829,0.442181910042133,-5.14093625157956,2.73372801924952e-07,5.90768051608164e-05
"4046_1",54.6247773695525,-2.70017836045189,0.529514749962259,-5.09934493920017,3.40830945202431e-07,7.11995844527878e-05
"3213_1",13.2329559903538,3.2967762555602,0.647924723247171,5.08820876449647,3.61461342603472e-07,7.30734914224504e-05
"5643_1",31.8804998851083,-2.98566880662665,0.59223706615522,-5.04134066786717,4.62281666603243e-07,9.05349751438288e-05
"2216_1",20.8973374526628,-2.93046968497497,0.582406600865827,-5.03165602968514,4.86261124809762e-07,9.2345408157054e-05
"3847_1",39.1958176312917,-4.49487177416117,0.897831518594575,-5.00636442480571,5.54676975289186e-07,9.93188744039236e-05
"1744_1",22.0947604823361,-3.38204590010628,0.674839128887623,-5.01163278080971,5.39701229821419e-07,9.93188744039236e-05
"3717_1",5.47264700520066,4.71230351583413,0.943038640465955,4.99693577084581,5.82484583494281e-07,0.000101400857909963
"3643_1",8.24919002169808,3.84599162512015,0.771932128729543,4.9822924606726,6.28353687223674e-07,0.000106429528590021
"5235_1",5.71648416533596,4.2747236787937,0.860581739954579,4.96724887402249,6.79094130837074e-07,0.000111996918893577
"1196_1",12.4719360956192,5.17151856933985,1.04331029182319,4.95683653259337,7.16502101270136e-07,0.000115136376119486
"4036_1",10.9297687908141,3.34152908450361,0.678245009082132,4.92672860066555,8.36177710134693e-07,0.000131008142735353
"5797_1",16.8202057480645,2.96907161962645,0.603488660458408,4.91984657569398,8.66120772666868e-07,0.000132389728836665
"531_1",8.72706144729548,3.34015553405684,0.679809035429817,4.91337325627776,8.95226127036787e-07,0.000133580527098561
"5014_1",84.8135011249332,-2.77466042709799,0.566933215931152,-4.89415745828331,9.87277716063646e-07,0.000143889987129555
"867_1",4.52682791873777,4.44893264881944,0.914089649047074,4.86706380873844,1.13268466493191e-06,0.000161330336252915
"5931_1",7.15171690522796,4.21758492490958,0.868209688849802,4.85779527581293,1.18700044711701e-06,0.000161359711389454
"5124_1",8.99818999851444,3.11471186902122,0.641397379133949,4.85613438774396,1.196994803319e-06,0.000161359711389454
"3240_1",24.1442952953049,3.36411231199487,0.693063927559467,4.85397115362957,1.21013346661949e-06,0.000161359711389454
"4472_1",16.2604758368214,3.70269101342239,0.764927889136906,4.84057525683927,1.29463816123145e-06,0.000169031194925781
"6029_1",24.0098140888877,-3.15739919523106,0.653497706964738,-4.83153829245408,1.35482153551661e-06,0.000173278909450665
"5541_1",15.5782475109505,4.84262935814016,1.0071353490832,4.80832031419453,1.52203749659663e-06,0.000190772179823421
"6144_1",3.1082623788527,5.44573099668874,1.13652827734174,4.79154905800139,1.65498541624537e-06,0.00020053913814034
"436_1",82.3675793600246,-2.28938054853049,0.477903703006838,-4.79046413351965,1.663959659055e-06,0.00020053913814034
"1815_1",6.78059216456684,4.35204548403404,0.909992198682624,4.78250856472661,1.73121008555845e-06,0.000204707426531978
"3105_1",9.97399621569001,2.86338228835876,0.599236737899098,4.77838241092774,1.76711057272742e-06,0.000205082999245977
"4985_1",5.53322283678105,5.4592584118776,1.14622848827474,4.76280119341184,1.90923919035576e-06,0.000217549127381082
"6081_1",9.51476053856907,4.93789889344534,1.04122787228414,4.74238063048877,2.11221289487771e-06,0.000236379253789261
"3176_1",172.181744759101,-4.38370270647443,0.928122332100435,-4.72319494409069,2.32168105799684e-06,0.000255262722639758
"3122_1",521.106608899185,-2.57360646529496,0.54583431302031,-4.71499574853441,2.4171579630697e-06,0.000261178085423411
"4589_1",24.4956497552433,-2.10764057895774,0.448230888271189,-4.70213149987686,2.57459592987569e-06,0.000273474452415779
"2219_1",8.88772204282531,3.18856460527302,0.679070419949753,4.69548446169832,2.65975587186518e-06,0.000277811500816318
"2397_1",149.165294202996,11.9180422203992,2.54448223040671,4.68387716682709,2.81498740274452e-06,0.000289205345131146
"2873_1",49.0718998240866,-2.73775420936061,0.587345209749596,-4.66123527342261,3.14317166349699e-06,0.000317713819598962
"1450_1",66.2213253846354,6.8124141781457,1.46373861685673,4.65411932136822,3.25368354001896e-06,0.000323664043576172
"6465_1",18.8465797151854,-2.89323716063104,0.623269639584887,-4.64203127647611,3.45000621297181e-06,0.000337831077135849
"6530_1",22.0303168086656,-2.82042467215775,0.608814324869416,-4.63265162619606,3.61011747804997e-06,0.000342797064165745
"1635_1",23.7417266646163,2.39091735748226,0.515952458208542,4.63398772395398,3.58688274283424e-06,0.000342797064165745
"3675_1",4.00852124378099,4.3916698497852,0.950545849424883,4.62015572677776,3.83452125495882e-06,0.000358518372021881
"3624_1",4.31416759896389,4.79019829840564,1.03747512332607,4.6171693091287,3.8900988188109e-06,0.000358518372021881
"3315_1",5.28534991900703,5.30602249334737,1.15169656039017,4.60713583406885,4.08253326819362e-06,0.000370800521619846
"3794_1",27.264933182093,2.37946800942457,0.518173412747119,4.59203029505069,4.38954628394365e-06,0.000376839541938012
"3372_1",3.11767809967904,6.46163354571389,1.40674760372826,4.59331405903149,4.36261743684225e-06,0.000376839541938012
"1939_1",8.23594734663819,3.75296906324961,0.816491460946912,4.59645843558139,4.29732649481613e-06,0.000376839541938012
"1214_1",7.49054244445129,3.39562800781649,0.738975908952585,4.5950456120138,4.32654618428317e-06,0.000376839541938012
"91_1",6.78544551320747,4.15585523517014,0.906624682204562,4.58387612508485,4.56434705418792e-06,0.000386550851197239
"40_1",72.1802891604079,-2.50254613326344,0.548458524153014,-4.56287216454176,5.04585404176007e-06,0.000421631563729472
"4702_1",14.8897968678431,3.09979250733998,0.68089591888481,4.55252032119227,5.30070389797443e-06,0.000437098833271128
"1161_1",15.90376712277,2.36663895046025,0.5209604352338,4.54283817042294,5.5501859262026e-06,0.000451727470123529
"25_1",179.507516010026,-3.47158278127122,0.766622866029027,-4.52841016764008,5.94291367149662e-06,0.000477490256144478
"5861_1",3.72477842897151,5.96909951406922,1.32227659713723,4.51425936675619,6.35384191165035e-06,0.000497896347909677
"2711_1",9.00181755130603,3.54540239413547,0.785389810283433,4.51419454099615,6.35578551663861e-06,0.000497896347909677
"277_1",23.4626938541578,-2.70740537166397,0.601095613908759,-4.50411766284312,6.66492733502414e-06,0.000515667896402423
"5926_1",4.13009724667356,-3.26679724496923,0.726143754712936,-4.49882991317702,6.83284961891612e-06,0.000522213031240821
"5110_1",12.9632724022371,3.45039740931581,0.767513075156609,4.49555521723426,6.9388648034171e-06,0.000523926093048373
"6431_1",5.97544393705552,3.24832930033937,0.725672083942168,4.47630461777312,7.59461050203386e-06,0.000562873595008635
"3510_1",12.6884162109374,-2.2548319335464,0.503851590566301,-4.47519066281422,7.63431555381106e-06,0.000562873595008635
"2059_1",24.3971385641644,-3.40865359248386,0.762215493621396,-4.4720339864634,7.74791097172629e-06,0.000564606489067543
"51_1",29.2394217257192,-2.89872241475053,0.648622554658782,-4.46904350446994,7.85701507678735e-06,0.000565976017083061
"3418_1",22.6161606083974,3.70701431715117,0.831654288035803,4.45739818874304,8.29604166014806e-06,0.000590810148683499
"2391_1",10.5050826410754,3.18501664009099,0.716386779351807,4.44594558678598,8.75060973967274e-06,0.000609334124872545
"202_1",26.2439809741541,5.90625835633353,1.32778158347202,4.44821530126157,8.65867168423728e-06,0.000609334124872545
"517_1",11.0852435165797,3.86543822471132,0.872894599123224,4.42829893619911,9.49792018310285e-06,0.000654104019642918
"6596_1",4.03094431964101,3.94699561963435,0.892624877929037,4.42178536272897,9.78886722545992e-06,0.000666813379369101
"6723_1",12.5388392086027,3.77452671416686,0.85429608312662,4.41828868084301,9.94854845268863e-06,0.000670403797344082
"6082_1",10.2418894488515,6.61096301591948,1.49834044985681,4.41219017784059,1.02330166854311e-05,0.000682237399655283
"5589_1",3.53937830958423,5.59296171364488,1.27035267507069,4.40268424934333,1.06919719940791e-05,0.000697879678562177
"5433_1",14.3900721231291,3.01804058505248,0.685761117400648,4.40100861432951,1.07748846368315e-05,0.000697879678562177
"4518_1",6.248375845696,2.95447384707654,0.671654652994795,4.39879904635967,1.08851558702932e-05,0.000697879678562177
"3294_1",3.73493319464288,3.5762833926986,0.813504186894308,4.39614626490329,1.10189698199123e-05,0.000697879678562177
