,3_X_13_11,3_X_15_11,3_X_16_11,3_X_28_11,3_X_45_11,3_X_46_11,3_X_47_11,3_X_49_11,3_X_50_11,5_11_1_-1,5_11_1_1,5_11_1_3,5_11_1_5,5_11_1_8,5_12_2_-1,5_12_2_1,5_12_2_3,5_12_2_5,5_12_2_8,5_13_5_-1,5_13_5_1,5_13_5_3,5_13_5_5,5_13_5_8,5_14_1_-1,5_14_1_1,5_14_1_3,5_14_1_5,5_14_1_8,5_14_5_-1,5_14_5_1,5_14_5_3,5_14_5_5,5_14_5_8,ID
1859_1,172839.0765,53015.35636,54774.28978,105520.0233,0,0,0,0,0,0,59455.45869,131503.5784,113348.0069,23884.69074,0,0,0,82201.49092,17081.60773,0,0,104657.6024,302759.8583,391851.3125,0,0,0,55203.87162,57853.37935,377342.9283,0,51003.88986,136465.1512,308041.5215,1859_1
1858_1,151341.4706,30505.45376,147081.9369,42501.93694,0,0,0,0,0,404498.9437,558781.9432,1412472.975,91309.87074,224476.1742,2036555.392,514364.2408,1168330.655,421394.5258,344011.2086,0,0,749414.512,1880020.652,205867.8689,1696249.005,1764483.025,1307902.1,963530.528,399471.4837,0,516025.6134,287610.7929,2858241.686,723768.8675,1858_1
1857_1,76036.57348,48766.03391,88171.9722,106768.5426,0,0,0,0,0,277128.0931,164069.8345,0,271083.4394,153791.8827,279054.7274,0,444689.0427,41243.35735,219974.5973,309592.8574,128168.1271,144403.5239,417739.2701,99252.52572,290531.1988,0,896062.6984,101558.2676,212865.1057,0,0,131364.2171,138079.8152,70837.79264,1857_1
1856_1,2613630.913,931678.553,1633485.394,2017905.187,0,0,0,0,0,0,531926.3311,7941473.637,2028166.657,2056743.415,0,428437.9639,1513799.915,1788424.253,840526.0714,0,233735.8419,1384993.22,7872107.545,3880459.842,0,0,0,4630208.722,1469594.726,421993.7156,429821.7987,1254861.365,8119011.587,3444919.104,1856_1
1855_1,440848.411,96065.42017,832274.913,292783.354,0,0,0,0,0,0,141402.2916,104251.1921,682921.7416,302958.4456,0,0,153300.6963,17772.63096,379166.74,0,220921.3769,719061.9916,120008.4307,441206.3453,0,0,0,43763.59559,1552824.938,0,0,218343.6259,162276.8163,244203.9694,1855_1
1854_1,89214.43014,0,54189.67093,0,0,0,0,0,0,1430690.845,988190.7272,0,0,226845.7327,0,0,0,35486.89532,40558.30013,0,165418.962,41416.22688,269575.5881,0,749942.6019,0,0,0,0,0,912577.3164,387529.0627,64804.14078,365704.4665,1854_1
1853_1,210098.948,223038.199,86778.91154,177009.2269,0,0,0,0,0,0,66490.79139,73532.16331,126760.4161,0,0,0,108128.5654,83571.2268,114617.1915,0,311647.7892,175562.5209,380908.4296,177827.9469,0,0,0,0,27728.20237,0,0,125486.1365,167874.2997,172245.9552,1853_1
1852_1,99450.88354,36926.88117,44510.70658,117596.8814,0,0,0,0,0,0,41412.61718,228991.0577,0,83182.23219,0,0,67345.97062,31230.51915,71387.29705,0,0,60747.78942,210881.8666,118668.216,0,0,0,38451.25162,51810.06599,0,0,99472.32624,256641.2541,0,1852_1
1851_1,58842.87504,61500.36526,75454.71508,110167.4755,0,0,0,0,0,262121.1567,51728.39547,57206.4303,39446.7432,270147.0616,0,0,0,84521.58551,193201.0001,0,0,60703.9282,987795.025,281633.5206,0,0,0,144088.0837,194147.4675,0,0,88750.45095,391807.7068,469012.6776,1851_1
1850_1,122470.4623,98631.31761,131455.7585,221440.5379,0,0,0,0,0,67260.36165,146008.7272,88075.11548,136647.6111,90648.98374,67727.96532,85528.83856,64756.94072,63396.45912,95337.36598,150279.4417,31107.03964,97354.03029,295713.2243,215533.8727,70513.36183,73349.86172,108739.4289,135567.8218,83030.49019,0,85805.09274,179909.784,271147.8489,223504.8835,1850_1
185_1,683664.2647,872318.1832,666818.1612,858446.5631,0,0,0,0,0,0,416080.3062,402625.2935,99153.79188,376086.3463,0,0,84579.6945,294167.6849,104597.7214,294422.2456,121887.6562,610344.3961,595903.9316,616012.2372,0,287408.9863,0,96581.7282,166285.3418,0,0,383704.7627,1086322.044,336833.0612,185_1
1849_1,314371.4523,121682.8656,153591.9314,230312.3828,0,0,0,0,0,0,378495.6936,59796.91016,0,43443.09787,0,348408.9858,0,47572.52665,46603.7826,0,63358.58356,79315.98166,68835.02439,134281.6694,287242.1664,0,0,0,45097.56687,0,0,111323.2072,124106.0432,70035.85537,1849_1
1847_1,566196.4198,302252.9423,315646.1303,348509.8156,0,0,0,0,0,0,368190.9776,271454.9241,584943.6759,221866.7846,0,0,299379.5182,277664.0589,105781.605,0,503341.2099,306054.3875,1249937.916,1195728.388,0,0,0,56977.01525,349739.5175,0,793375.5684,252682.2261,718326.841,397419.736,1847_1
