ID	5_11_1_3	5_12_2_5	5_13_5_5	5_14_1_5	5_14_5_5	5_11_1_5	5_11_1_8	5_12_2_8	5_13_5_8	5_14_1_8	5_14_5_8
3139_1	5	8	14	0	104	6	19	75	48	190	1
3138_1	15	47	14	6	84	0	23	8	43	51	1
3137_1	7	41	9	2	50	11	40	18	25	238	13
3136_1	17	36	76	14	165	17	47	41	105	20	14
3135_1	0	0	2	1	4	0	1	0	0	1	1
3134_1	123	82	85	40	171	75	69	43	297	358	23
3133_1	2	9	14	2	26	5	8	8	22	25	1
3132_1	0	9	1	0	1	0	1	1	1	1	0
3131_1	1	3	6	1	5	0	3	5	15	4	0
3130_1	0	4	8	0	3	0	1	3	2	7	3
313_1	0	4	3	1	4	0	0	0	6	1	1
3129_1	41	87	138	28	206	20	44	19	269	127	17
3128_1	12	154	30	9	141	12	33	12	180	61	2
3126_1	4	29	33	0	36	9	3	5	52	26	7
3125_1	13	49	91	13	123	3	36	71	85	48	15
3124_1	35	86	72	8	170	42	46	45	309	73	20
3123_1	48	628	225	26	597	49	195	259	1744	205	118
3122_1	2476	4662	5822	1858	16950	1458	1844	531	6933	3251	273
3121_1	2	11	17	7	24	6	13	9	53	29	16
3120_1	49	44	224	37	595	14	207	439	79	141	84
312_1	0	2	0	0	0	0	0	0	2	0	0
3119_1	6	35	34	0	66	0	2	4	96	27	2
3118_1	13	78	66	4	32	11	13	21	191	87	26
3117_1	19	142	104	3	145	1	26	14	162	79	16
3116_1	4	53	47	3	79	13	33	18	82	36	6
3115_1	0	2	10	1	9	0	3	2	3	4	5
3114_1	0	5	4	0	2	0	0	2	14	11	0
3113_1	59	241	79	29	192	56	58	38	442	237	26
3112_1	2	11	9	0	17	0	5	10	34	8	3
3111_1	0	0	0	0	4	0	0	0	0	0	0
3110_1	0	0	0	0	3	0	0	0	0	1	0
311_1	2	3	7	0	5	0	0	2	1	0	0
3109_1	25	51	61	12	134	0	24	12	73	54	5
3108_1	3	8	6	2	28	0	8	5	12	9	5
3107_1	89	463	221	45	528	170	96	65	665	187	16
3106_1	0	1	3	0	8	0	0	1	8	6	1
3105_1	7	14	11	2	16	0	6	4	27	18	3
3104_1	0	3	2	0	19	7	1	1	74	7	0
3103_1	6	66	52	14	87	5	23	44	139	34	11
3102_1	63	196	202	19	244	54	29	53	535	303	14
3101_1	6	47	70	4	60	23	30	51	228	53	25
3100_1	52	244	176	25	315	69	88	41	801	109	20
310_1	10	13	13	10	37	2	1	7	4	39	2
31_1	6	17	8	0	11	0	6	4	49	10	0
3099_1	0	15	25	2	49	1	10	48	15	15	6
3098_1	336	2392	1475	275	1929	651	521	227	6550	1492	299
3097_1	529	2540	850	218	3034	595	478	239	9506	933	317
3096_1	6	6	24	3	13	14	5	4	53	36	2
3095_1	4	10	6	0	16	0	4	8	12	17	1
3094_1	2	9	17	1	55	1	10	34	14	21	2
3093_1	2	6	13	2	29	2	2	8	32	23	7
3092_1	1	1	5	0	4	0	1	6	5	1	0
3091_1	9	45	77	4	101	3	47	54	42	43	20
3090_1	60	63	290	60	1023	2	406	964	136	281	208
309_1	0	3	2	0	6	0	6	1	10	6	0
3089_1	0	2	5	1	14	0	2	13	1	3	2
3088_1	372	1881	931	183	2816	291	488	221	9587	879	308
3087_1	0	32	19	2	42	3	6	15	33	27	3
3086_1	9	35	43	2	84	31	19	3	125	111	10
3085_1	0	0	0	0	1	0	3	2	1	0	0
3084_1	40	534	185	47	476	61	109	71	1410	280	44
3083_1	1	2	7	1	32	0	6	31	12	139	1
3082_1	4	25	42	1	609	27	600	24	429	525	13
3081_1	3	2	0	0	2	4	0	1	3	5	2
3080_1	43	110	47	27	143	27	22	29	157	104	22
308_1	6	49	36	7	62	17	19	23	90	35	9
3079_1	10	8	16	1	53	1	19	23	19	15	4
3078_1	27	37	38	11	106	22	33	20	227	93	18
3077_1	2	4	11	3	20	4	9	11	43	8	3
3076_1	48	384	234	15	313	131	64	47	1384	269	69
3075_1	68	289	258	52	470	53	137	158	773	202	59
3074_1	0	0	1	0	0	0	0	0	0	0	0
3073_1	0	0	0	0	0	0	0	0	0	0	0
3072_1	3	1	6	4	12	0	5	5	3	3	1
3071_1	0	0	0	0	0	0	0	0	0	0	0
3070_1	387	101	225	218	336	8	9	26	30	175	6
307_1	2	4	1	0	8	0	0	3	35	9	0
3069_1	0	2	5	1	9	0	1	2	15	3	2
3068_1	10	50	18	3	51	1	0	6	103	35	2
3067_1	18	72	67	21	91	12	12	19	292	52	13
3066_1	35	261	181	16	221	110	74	47	608	108	18
3065_1	15	66	51	10	206	26	47	12	431	97	37
3064_1	94	23	7	36	143	0	0	3	13	4	5
3063_1	2	8	7	0	7	1	5	2	40	15	3
3062_1	9	60	114	4	43	14	1	15	304	63	8
3061_1	1	17	31	1	10	10	1	1	14	4	2
3060_1	10	7	22	1	29	1	5	7	33	10	0
306_1	13	18	80	17	171	4	26	153	67	46	25
3059_1	0	1	5	0	5	0	0	0	0	3	0
3058_1	0	0	0	0	1	0	0	1	1	0	0
3057_1	20	42	118	3	254	26	154	20	263	275	27
3056_1	13	90	59	8	135	63	71	20	246	207	18
3055_1	73	585	374	88	548	450	219	135	1716	613	94
3054_1	3	1	3	0	10	0	1	2	5	4	0
3053_1	13	27	98	4	113	0	49	75	26	29	23
3052_1	11	31	24	3	70	3	13	15	115	13	8
3051_1	10	20	11	7	62	9	12	11	50	24	4
3050_1	4	16	16	1	24	10	8	10	28	18	7
305_1	92	53	10	39	170	1	3	2	26	11	3
3049_1	2	27	26	2	43	16	17	24	62	32	7
3048_1	2	4	1	0	4	13	6	1	20	4	0
3047_1	1	14	21	4	33	0	13	17	34	21	3
3046_1	2	0	0	0	2	0	0	0	0	6	0
3045_1	0	0	0	0	0	0	0	0	0	0	0
3044_1	0	2	2	0	1	0	1	1	0	1	0
3043_1	0	4	1	0	6	0	1	4	6	2	2
3042_1	4	10	1	0	4	2	0	2	6	7	0
3041_1	6	7	8	4	10	7	1	3	63	9	1
3040_1	11	8	30	0	52	0	14	38	41	79	6
304_1	0	1	15	0	6	0	0	0	15	0	1
3039_1	0	9	7	1	11	0	3	4	3	4	2
3038_1	33	15	31	17	103	4	7	5	1	30	1
3037_1	1	8	13	6	20	1	8	24	24	17	6
3036_1	15	21	49	15	129	3	14	29	29	25	10
3035_1	9	76	53	9	78	19	8	11	297	83	16
3034_1	797	1411	1853	368	5344	14	2410	4935	996	2227	503
3033_1	9	77	63	11	75	16	13	15	120	56	5
3032_1	0	3	2	0	10	0	1	5	14	3	1
3031_1	0	7	6	1	13	1	1	5	58	5	1
3030_1	46	134	298	12	218	150	33	40	350	227	26
303_1	5	47	53	4	69	3	15	25	49	31	8
3029_1	0	1	0	0	3	0	8	5	63	14	2
3028_1	0	0	1	0	2	0	0	0	4	0	0
3027_1	10	3	2	3	6	0	0	2	7	4	0
3026_1	11	9	16	1	84	10	35	9	107	40	1
3025_1	1	2	5	0	6	3	0	0	7	4	1
3024_1	0	6	3	0	4	0	2	1	1	1	0
3023_1	7	18	18	2	29	17	8	4	140	28	11
3022_1	36	143	157	13	160	123	63	80	305	199	32
3021_1	8	12	10	1	26	3	6	4	60	24	3
3020_1	1	3	0	0	5	2	5	1	14	6	1
302_1	0	1	2	0	2	0	1	0	2	3	0
3019_1	16	49	54	12	62	13	37	57	67	43	13
3018_1	1	65	8	1	8	5	3	6	1	10	1
3017_1	1	42	1	1	15	0	0	3	3	4	5
3016_1	27	62	112	24	120	5	29	43	63	34	17
3015_1	3	25	20	0	20	3	2	3	75	24	3
3014_1	1	5	4	0	6	0	1	0	1	1	0
3013_1	77	27	66	27	104	9	4	5	72	17	8
3012_1	2	31	15	2	38	0	12	8	70	21	1
